,gain,perm,mi,shap,min_rank,max_rank,mean_rank,drop_candidate,rank_gain,rank_perm,rank_mi,rank_shap
racetrack_id_13.0,10.591732025146484,0.00023924724042407864,0.000370415587209294,0.031722367,0.2682926829268293,0.8536585365853658,0.5304878048780488,False,0.8536585365853658,0.4878048780487805,0.2682926829268293,0.5121951219512195
horse_age,5.411045074462891,0.0029297613282742276,0.0,0.044487942,0.13414634146341464,0.8048780487804879,0.5213414634146342,False,0.5121951219512195,0.8048780487804879,0.13414634146341464,0.6341463414634146
dist_bucket_show_rate,5.86928129196167,-0.0006428567050184685,0.02583306387855533,0.030752564,0.12195121951219512,0.9024390243902439,0.5121951219512195,False,0.5609756097560976,0.12195121951219512,0.9024390243902439,0.4634146341463415
racetrack_id_16.0,7.565891742706299,0.0006339345248190132,0.003109619319503487,0.006639398,0.17073170731707318,0.7317073170731707,0.4756097560975609,False,0.7317073170731707,0.5853658536585366,0.4146341463414634,0.17073170731707318
weight_change_from_last,5.192707538604736,0.0017890674006010964,0.0,0.03134468,0.13414634146341464,0.7073170731707317,0.4359756097560975,False,0.4146341463414634,0.7073170731707317,0.13414634146341464,0.4878048780487805
dist_diff_from_avg,5.6314568519592285,-0.00012206700353005751,0.0,0.060104538,0.13414634146341464,0.7317073170731707,0.41768292682926833,False,0.5365853658536586,0.2682926829268293,0.13414634146341464,0.7317073170731707
racetrack_id_9.0,6.955008029937744,0.0010978538410666872,0.0,0.0055731297,0.12195121951219512,0.6829268292682927,0.39939024390243905,False,0.6829268292682927,0.6585365853658537,0.13414634146341464,0.12195121951219512
career_win_rate,5.028402805328369,-0.00035217071195594587,0.01124682405757449,0.028646575,0.24390243902439024,0.6585365853658537,0.39634146341463417,False,0.2926829268292683,0.24390243902439024,0.6585365853658537,0.3902439024390244
racetrack_id_4.0,5.310122966766357,0.00027611082846186187,0.004841930898924707,0.0018823418,0.07317073170731707,0.5121951219512195,0.3902439024390244,False,0.4634146341463415,0.5121951219512195,0.5121951219512195,0.07317073170731707
days_since_last_win,4.765863418579102,0.00016226789561184506,0.004962502142454639,0.019760186,0.24390243902439024,0.5365853658536586,0.38414634146341464,False,0.24390243902439024,0.4146341463414634,0.5365853658536586,0.34146341463414637
sex_code_H,4.603327751159668,0.0009136721173695017,0.0011679689067736199,0.014970007,0.14634146341463414,0.6341463414634146,0.34756097560975613,False,0.14634146341463414,0.6341463414634146,0.3170731707317073,0.2926829268292683
career_places,5.16720724105835,-0.0005978541816079597,0.0051661876139368346,0.014756431,0.17073170731707318,0.5609756097560976,0.34756097560975613,False,0.3902439024390244,0.17073170731707318,0.5609756097560976,0.2682926829268293
career_runs,5.017353057861328,-0.0003854075359050357,0.0006834227852798858,0.037771177,0.21951219512195122,0.5853658536585366,0.3414634146341463,False,0.2682926829268293,0.21951219512195122,0.2926829268292683,0.5853658536585366
year_win_rate,4.705770015716553,0.00021523908378058288,0.003840555291263259,0.008423368,0.17073170731707318,0.4878048780487805,0.32926829268292684,False,0.17073170731707318,0.4634146341463415,0.4878048780487805,0.1951219512195122
racetrack_id_21.0,5.122063159942627,0.00017353981029128996,0.003093937958069448,0.0023352618,0.0975609756097561,0.43902439024390244,0.32317073170731714,False,0.36585365853658536,0.43902439024390244,0.3902439024390244,0.0975609756097561
year_wins,5.119147300720215,3.0103844642348498e-05,0.002543602823391833,0.009339983,0.21951219512195122,0.36585365853658536,0.3170731707317073,False,0.34146341463414637,0.34146341463414637,0.36585365853658536,0.21951219512195122
year_runs,4.717554092407227,0.0005477775938854679,0.0,0.020837234,0.13414634146341464,0.5609756097560976,0.31402439024390244,False,0.1951219512195122,0.5609756097560976,0.13414634146341464,0.36585365853658536
career_wins,5.207462787628174,-0.0008789369120130619,0.003214989218325748,0.017706836,0.04878048780487805,0.43902439024390244,0.31097560975609756,False,0.43902439024390244,0.04878048780487805,0.43902439024390244,0.3170731707317073
dist_bucket_runs,4.721194744110107,-0.0008383443975179316,0.0,0.03923075,0.07317073170731707,0.6097560975609756,0.25914634146341464,False,0.21951219512195122,0.07317073170731707,0.13414634146341464,0.6097560975609756
career_shows,4.20188570022583,0.000458777143689959,0.0,0.011594364,0.07317073170731707,0.5365853658536586,0.24695121951219512,False,0.07317073170731707,0.5365853658536586,0.13414634146341464,0.24390243902439024
track_runs,4.580420017242432,-0.0006003741867024681,0.0,0.035594653,0.12195121951219512,0.5609756097560976,0.24085365853658539,False,0.12195121951219512,0.14634146341463414,0.13414634146341464,0.5609756097560976
racetrack_id_8.0,2.4225175380706787,8.121908311253811e-06,0.003481383671154692,0.000108910106,0.024390243902439025,0.4634146341463415,0.20731707317073172,False,0.024390243902439025,0.3170731707317073,0.4634146341463415,0.024390243902439025
sex_code_M,4.026529312133789,6.693337855718795e-05,0.0016488250417689976,0.0013829595,0.04878048780487805,0.36585365853658536,0.20121951219512196,False,0.04878048780487805,0.36585365853658536,0.34146341463414637,0.04878048780487805
year_shows,4.5793914794921875,0.00012213511177578963,0.0,0.005860149,0.0975609756097561,0.3902439024390244,0.19207317073170732,False,0.0975609756097561,0.3902439024390244,0.13414634146341464,0.14634146341463414
